City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,sipe sipe,-17.45,-66.3833,22.27,50,93,4.18,BO,1676141330
397,adrar,20.5022,-10.0711,25.61,11,86,3.82,MR,1676141250
398,port hardy,50.6996,-127.4199,4.1,93,100,2.57,CA,1676141330
399,sochi,43.6,39.7303,1.05,73,49,0.89,RU,1676140727
400,ahipara,-35.1667,173.1667,16.7,91,100,12.3,NZ,1676141331
401,oskarshamn,57.2645,16.4484,0.49,80,16,1.15,SE,1676141331
402,half moon bay,37.4636,-122.4286,10.99,86,100,5.14,US,1676141118
403,naze,28.3667,129.4833,15.51,82,98,3.86,JP,1676141331
404,melnikovo,56.5558,84.085,-20.39,100,35,1.78,RU,1676141332
405,yumen,40.2833,97.2,-5.0,46,99,4.37,CN,1676141332
406,suntar,62.1444,117.6319,-16.2,94,100,3.81,RU,1676141332
407,paralimni,35.0375,33.9833,10.64,65,97,5.81,CY,1676141333
408,birao,10.2849,22.7882,27.09,16,7,2.77,CF,1676141333
409,izhma,65.0083,53.9113,-5.24,92,100,4.66,RU,1676141333
410,togur,58.3631,82.8265,-21.25,99,21,2.35,RU,1676141333
411,manggar,-2.8833,108.2667,26.24,86,76,3.74,ID,1676141334
412,neiafu,-18.65,-173.9833,26.38,94,75,1.03,TO,1676141334
413,sebrovo,50.0981,43.2976,-6.8,91,100,4.28,RU,1676141335
414,marawi,7.9986,124.2928,19.81,94,100,0.67,PH,1676141335
415,antofagasta,-23.65,-70.4,24.6,63,0,3.63,CL,1676141335
416,dongsheng,39.8161,109.9776,-1.83,96,100,3.52,CN,1676141336
417,the valley,18.217,-63.0578,27.92,61,20,7.2,AI,1676141263
418,andenes,69.3143,16.1194,-0.6,86,100,3.6,NO,1676141336
419,muros,42.7762,-9.0603,9.52,62,0,1.14,ES,1676141336
420,axim,4.8699,-2.2405,27.22,85,15,3.6,GH,1676141337
421,basco,20.4487,121.9702,24.62,76,100,8.14,PH,1676141337
422,churapcha,62.0025,132.4325,-39.4,100,99,0.49,RU,1676141337
423,tuxpan,19.55,-103.4,29.25,24,0,1.59,MX,1676141338
424,litovko,49.2361,135.1742,-24.27,100,92,0.83,RU,1676141338
425,grand gaube,-20.0064,57.6608,26.32,72,0,2.68,MU,1676141338
426,gladstone,-23.85,151.25,21.96,88,1,2.06,AU,1676141339
427,mahibadhoo,3.7833,72.9667,26.73,68,5,4.04,MV,1676141339
